,acc_0,acc_1,f1_0,f1_1,auc_0,auc_1,pehe,mae,kl_0,kl_1
ClassCaus,0.6953125,0.83125,0.7317744154057773,0.8998144712430427,0.7796474358974359,0.8137980769230769,0.22011967957253759,0.16716755102970637,0.1815439847582375,0.06714092934828514
lgbm,0.775,0.871875,0.7721518987341772,0.9253187613843351,0.6676438398999375,0.6948397435897434,0.3965962970121852,0.3417897030711174,0.2624116863901063,0.17023512493796336
xgb,0.775,0.871875,0.7721518987341772,0.9253187613843351,0.6735655096935586,0.6834615384615386,0.3965962970121852,0.3417897030711174,0.26674738804763953,0.17485624845964948
