,acc_0,acc_1,f1_0,f1_1,auc_0,auc_1,pehe,mae,kl_0,kl_1,std_diff_0,std_diff_1
ClassCaus,0.65625,0.66875,0.735576923076923,0.674846625766871,0.8059071729957806,0.7776070434818722,0.5101846641638779,0.42909534554491985,0.2862000613879112,0.28946918088174944,0.3363591779377259,0.34039634096670174
lgbm,0.825,0.85625,0.8282208588957054,0.885,0.8213392717612127,0.8147348311806969,0.14128616919268688,0.10783684141933918,0.1919487630707127,0.17657608679313128,0.2838849866912912,0.28502185487974646
xgb,0.825,0.85625,0.8282208588957054,0.885,0.8424753867791842,0.8097097055525562,0.14128616919268688,0.10783684141933918,0.18502210236839706,0.18040554936882816,0.2794041094686721,0.281740114649257
